OrdenID,ProductoID,Cantidad,PrecioUnitario
864,16,5,305.8
911,5,5,240.74
700,3,5,247.81
707,5,3,157.85
26,16,4,290.63
792,1,5,67.02
726,24,4,114.3
625,11,3,197.75
428,15,3,42.34
365,14,5,393.35
839,35,3,18.96
255,12,5,59.42
126,34,4,303.6
390,20,5,321.48
411,29,4,304.41
394,19,4,70.11
597,19,2,11.29
513,30,3,456.79
191,26,4,250.02
136,24,5,407.49
890,18,1,217.59
464,32,4,113.79
900,30,4,226.49
292,2,2,360.31
254,28,2,494.21
650,10,4,137.55
554,3,4,493.65
78,17,3,237.16
586,29,2,376.33
656,15,3,206.17
500,30,5,229.16
903,24,1,320.85
755,30,1,317.34
77,17,2,244.59
653,27,1,181.4
591,33,4,309.29
320,27,4,120.51
821,4,2,341.89
846,32,5,405.94
661,4,5,393.62
749,22,3,385.03
32,30,1,193.18
267,36,2,284.91
389,19,3,318.46
753,14,2,332.85
146,34,3,223.28
457,2,1,199.02
332,28,5,228.76
47,21,2,339.05
695,12,1,497.15
776,1,3,31.56
440,14,2,102.59
407,34,5,469.25
511,19,2,281.6
505,28,2,232.61
292,31,4,20.16
262,31,4,203.35
790,18,1,13.47
677,25,3,169.63
185,4,5,371.76
791,33,2,125.01
854,16,1,104.6
620,15,4,67.79
426,16,2,316.53
145,7,2,384.56
822,28,5,161.33
748,26,2,414.86
850,18,4,10.24
909,36,5,471.02
655,33,3,168.13
319,21,2,345.57
869,23,5,348.38
224,33,4,87.94
28,29,2,48.19
656,12,5,293.42
931,36,2,164.79
345,25,4,308.82
972,20,2,209.01
805,34,1,109.1
984,8,1,12.84
353,24,1,484.78
271,2,3,20.99
193,25,4,200.89
812,1,1,240.32
513,20,4,324.32
429,1,5,164.93
159,10,1,133.89
352,23,2,301.05
171,25,3,362.6
667,14,4,31.37
882,8,5,466.4
523,10,2,463.95
205,22,1,426.12
118,19,3,327.82
270,22,1,448.76
447,4,1,72.98
444,19,1,23.6
140,22,5,113.08
984,17,4,464.81
718,4,4,297.57
333,8,4,258.65
96,8,2,236.69
538,35,4,411.79
163,6,1,180.44
319,30,5,35.92
42,30,1,396.43
144,15,1,361.99
355,21,1,59.95
123,26,1,494.41
14,21,3,331.2
870,2,4,284.96
476,30,5,136.55
555,23,4,383.31
594,7,5,76.68
85,11,1,448.21
877,23,5,367.93
559,17,5,264.92
407,9,3,166.87
393,6,1,169.46
771,12,1,486.0
950,35,2,255.82
341,21,3,66.7
839,35,2,21.88
411,21,2,242.19
750,11,1,325.64
198,36,3,221.05
560,26,5,245.55
548,18,1,486.72
897,6,2,334.56
710,8,2,303.86
104,13,4,170.7
742,28,3,468.39
857,26,3,485.81
422,4,4,457.82
945,36,4,132.94
703,29,2,466.91
723,6,3,468.95
568,23,1,423.45
792,36,5,119.25
19,34,3,440.89
162,27,3,16.52
465,29,1,99.02
214,15,2,154.19
135,12,1,389.45
469,2,4,120.89
75,33,5,125.54
540,4,2,367.3
990,20,2,488.58
341,3,4,443.45
100,23,5,109.22
645,25,5,292.7
684,12,2,345.64
89,1,2,89.66
64,32,1,42.81
865,26,3,323.98
614,13,1,481.5
592,16,5,341.76
966,34,2,416.37
184,29,5,450.99
376,32,5,66.4
387,26,1,122.38
244,31,5,423.0
316,11,5,332.28
518,20,3,16.43
944,35,2,131.21
771,3,3,466.19
611,29,1,490.48
554,1,5,325.72
394,35,1,422.13
833,34,2,199.47
686,5,1,172.18
850,35,3,192.19
895,22,2,394.38
120,3,2,202.53
273,33,1,436.21
38,20,1,486.56
397,34,1,194.53
751,23,1,292.17
193,23,3,142.14
542,15,2,299.43
451,13,3,139.38
333,27,1,377.68
424,3,4,51.36
290,7,1,410.82
963,22,5,257.74
68,33,5,387.74
918,29,3,302.44
521,28,5,259.19
168,15,5,424.83
797,32,4,36.45
467,30,4,54.7
87,8,1,201.65
447,34,5,383.15
59,32,3,376.73
147,10,3,335.61
366,3,3,260.74
817,32,2,421.93
268,13,2,324.88
986,33,5,73.43
28,33,3,44.81
17,12,3,304.22
803,24,3,12.47
274,11,5,298.82
199,32,5,102.24
493,35,2,448.63
292,25,4,201.38
69,26,5,471.46
121,26,5,344.04
932,9,1,303.42
714,6,2,337.98
995,16,3,454.66
927,4,4,384.58
653,23,2,457.24
329,27,4,275.5
787,29,5,273.7
823,32,5,70.66
896,5,4,325.53
333,34,4,462.53
645,31,3,450.9
672,2,3,40.69
459,8,4,330.24
601,21,4,187.32
338,12,5,278.72
347,13,1,348.64
604,23,5,123.7
325,9,3,253.19
177,13,3,55.3
730,25,2,420.97
917,34,3,145.29
16,5,3,130.83
146,9,3,30.7
736,23,1,273.87
174,26,3,379.48
171,30,5,10.53
948,16,1,149.42
563,33,5,394.73
686,4,1,473.3
222,24,2,56.55
291,9,1,130.1
409,5,1,50.34
280,20,5,351.28
723,8,3,91.03
531,10,3,184.97
86,11,1,71.66
56,32,4,63.04
304,15,4,222.42
52,17,2,264.05
80,4,4,95.32
532,11,2,327.06
530,7,4,286.32
487,18,1,248.18
671,9,3,222.01
653,27,4,391.2
597,31,2,57.32
925,33,1,174.67
756,36,4,232.03
400,11,3,73.74
280,17,4,45.08
958,5,5,157.67
172,8,5,462.23
104,10,3,472.41
409,10,4,247.54
83,22,3,151.64
85,9,2,237.23
358,24,2,99.23
322,1,4,323.01
526,24,2,340.94
54,23,5,452.67
732,17,5,472.84
325,16,3,57.82
443,11,3,250.3
868,3,1,331.7
858,10,3,166.24
511,11,5,369.36
403,29,3,26.16
184,32,1,469.58
452,16,1,251.49
295,19,1,347.81
13,14,4,487.37
567,10,4,445.47
886,14,2,176.88
157,24,5,401.3
801,22,3,363.85
566,6,4,446.72
744,20,2,358.27
483,25,3,113.3
849,18,3,375.2
150,31,4,10.53
384,6,5,136.21
616,22,1,362.97
80,16,5,40.23
997,34,3,175.16
757,22,1,256.81
968,10,3,400.0
272,25,5,140.22
674,24,5,113.47
65,14,2,201.22
377,3,4,392.94
411,23,2,113.08
773,10,3,396.03
812,5,2,478.03
576,1,2,303.04
899,26,4,120.1
65,36,3,451.46
318,18,1,369.05
237,12,5,368.45
666,36,5,326.98
347,14,3,254.93
639,8,2,187.63
135,6,4,346.86
532,2,3,84.42
406,27,5,249.43
314,25,4,327.47
17,29,5,406.67
531,28,3,454.31
235,30,2,170.26
498,24,2,438.58
959,13,1,461.52
976,6,2,70.72
656,26,4,94.79
600,29,4,223.91
803,36,3,218.29
80,14,5,321.68
714,32,1,479.81
219,8,4,273.39
737,19,3,282.82
430,32,3,157.65
211,1,2,50.78
650,35,1,122.04
51,10,2,336.59
826,34,3,76.59
827,12,4,15.01
211,25,3,109.67
57,3,5,235.81
936,31,2,433.31
461,23,2,108.6
147,8,2,249.24
548,3,1,226.7
387,22,5,204.33
488,25,3,24.01
822,19,4,396.49
126,22,3,46.88
933,5,1,418.58
839,36,3,477.89
428,36,5,54.6
29,4,3,375.3
36,21,1,30.46
288,20,4,222.34
459,33,4,166.39
420,31,5,83.22
187,21,3,235.23
481,14,5,39.49
251,26,2,396.11
47,19,2,297.84
600,12,4,249.99
401,11,1,85.02
213,9,2,200.45
971,10,1,475.55
176,26,2,321.36
257,16,5,158.6
776,35,5,70.92
21,15,4,64.45
580,14,5,29.2
995,22,3,98.47
30,34,4,475.4
695,3,3,125.05
201,36,5,59.37
507,4,5,382.19
11,2,3,143.06
845,10,1,319.36
889,1,3,207.3
883,10,2,111.51
322,26,4,86.02
252,9,4,267.63
587,23,2,263.19
829,10,2,456.14
914,28,2,422.79
214,24,2,168.04
221,22,1,71.64
907,23,1,21.43
999,12,3,451.91
194,28,5,304.13
929,24,1,193.68
23,33,4,237.1
669,12,3,216.1
55,31,2,223.53
587,2,1,412.8
560,19,5,96.28
158,8,1,10.98
11,22,3,400.53
456,7,5,139.65
777,4,1,120.03
619,8,1,149.12
833,29,3,11.03
629,7,1,355.68
905,23,4,263.64
794,2,3,484.82
537,30,1,264.47
847,5,4,274.8
372,36,1,393.68
204,14,2,45.58
264,24,1,220.49
887,7,3,200.88
757,19,1,50.95
197,12,3,124.99
877,5,1,385.23
207,22,4,190.45
656,17,3,35.6
749,25,5,93.87
490,23,4,68.14
748,10,1,25.64
925,31,3,48.49
423,4,2,467.63
482,18,2,494.8
623,23,1,347.03
632,30,4,311.99
556,18,2,58.22
72,20,4,219.59
809,16,5,450.45
458,18,5,113.31
23,35,3,479.64
902,36,5,399.73
613,30,2,403.55
412,23,4,60.25
193,6,5,92.24
341,3,4,427.56
553,24,1,89.17
492,5,3,359.72
637,29,1,353.01
400,16,1,413.99
171,33,3,186.6
266,15,3,58.22
529,32,3,498.57
40,25,1,399.34
209,6,2,83.94
466,32,5,492.12
762,23,5,102.29
897,35,4,103.16
856,7,3,285.82
521,21,5,269.38
65,30,1,370.71
171,34,5,121.32
607,9,3,441.59
487,24,5,441.86
406,3,4,147.67
116,12,2,183.45
61,33,5,422.81
570,35,1,88.58
163,22,1,333.0
147,7,1,262.61
407,3,2,117.6
715,12,4,377.16
394,25,1,316.91
316,15,3,448.47
887,20,5,398.94
616,5,2,363.78
624,11,2,51.47
305,29,5,262.13
892,2,2,418.74
688,22,3,156.95
668,17,4,314.35
110,5,1,105.07
722,21,3,342.5
325,1,2,132.37
183,7,1,260.79
623,16,5,273.48
419,26,1,209.4
347,33,2,272.36
486,13,1,181.58
882,32,2,403.35
182,34,2,402.85
225,13,5,276.15
692,26,1,203.62
204,36,5,290.38
633,32,5,98.37
751,8,3,82.56
274,28,5,448.34
41,11,1,182.49
829,19,5,359.31
816,26,4,34.13
293,30,5,347.78
951,28,3,443.6
756,35,2,331.97
721,30,2,213.77
757,6,1,453.74
415,28,4,444.56
980,25,4,175.19
691,27,1,224.4
871,26,3,384.95
433,23,3,338.62
851,27,5,269.54
698,12,5,278.27
333,36,1,328.82
405,34,3,243.44
742,26,3,45.36
656,12,3,390.12
852,18,3,335.3
736,4,2,42.97
50,27,1,27.91
80,30,2,134.53
18,20,2,200.5
901,2,1,214.61
491,9,5,257.23
835,31,2,421.03
869,28,4,18.81
18,24,2,312.85
896,30,3,141.54
364,21,3,316.03
522,28,5,292.21
15,21,5,237.6
355,36,4,218.65
116,31,4,137.37
396,20,1,125.01
864,19,5,472.88
292,28,5,93.02
921,18,5,243.88
422,2,1,89.12
916,5,3,362.75
810,16,4,173.12
173,9,5,181.02
680,29,5,432.93
981,8,3,351.82
62,36,3,287.78
151,3,3,445.55
817,21,4,331.85
918,12,4,498.07
698,33,3,156.91
693,3,4,201.09
571,10,4,496.48
275,29,5,172.16
573,31,4,158.54
848,9,3,39.01
831,11,3,411.3
823,9,4,349.31
694,20,1,283.26
625,11,4,439.87
351,5,3,416.66
734,33,5,66.55
191,16,1,145.49
620,34,1,426.95
52,36,2,170.32
368,2,3,408.55
154,3,1,319.01
912,31,3,461.41
178,11,3,177.58
186,27,2,246.0
368,19,3,156.17
495,1,3,88.95
290,26,3,107.34
129,23,1,464.94
573,24,5,334.72
647,22,1,175.37
543,25,2,284.37
908,20,4,329.24
762,22,1,262.35
512,27,5,182.98
565,36,2,272.66
223,1,4,484.68
48,1,5,25.21
701,4,4,303.23
780,24,2,147.38
946,3,2,238.77
817,34,5,446.18
591,14,1,179.72
852,23,1,137.78
620,20,1,84.72
397,26,3,429.17
949,12,4,49.08
260,18,4,436.67
801,26,2,462.71
526,21,1,203.07
657,27,2,217.06
55,4,2,376.85
651,35,3,478.76
167,16,2,153.31
686,12,1,301.4
819,12,3,416.6
673,22,1,250.87
345,8,4,141.88
640,1,5,16.27
605,20,4,136.44
677,19,4,64.35
83,18,5,293.42
440,31,4,135.14
957,19,4,38.5
185,12,3,242.63
919,17,2,119.72
96,13,3,13.2
130,12,1,246.69
463,12,2,293.38
286,35,3,212.54
285,31,2,51.17
418,32,4,380.97
751,23,5,412.38
22,36,4,81.91
133,34,3,344.05
978,22,1,292.32
826,32,1,221.44
768,3,3,370.94
925,34,3,341.15
230,8,1,124.13
562,13,3,31.66
621,23,1,222.09
712,9,2,217.87
374,33,4,183.25
16,19,2,111.56
201,17,3,22.78
988,3,4,258.4
59,6,1,467.02
403,21,2,290.17
726,5,1,51.5
930,4,5,85.77
827,14,1,190.15
970,5,3,42.99
200,34,5,427.5
16,16,2,220.56
247,31,1,144.34
283,2,2,298.56
921,35,1,96.8
975,30,3,183.64
890,12,4,81.3
986,35,5,433.81
753,20,1,280.49
272,19,5,357.69
51,18,5,299.14
51,27,2,176.73
581,10,3,46.92
243,15,2,16.55
151,10,5,481.15
95,4,1,223.0
54,21,5,48.24
498,32,2,34.98
73,2,5,252.97
431,32,3,329.49
924,9,3,274.83
568,33,5,357.19
181,34,5,209.88
55,7,2,387.92
497,31,2,16.57
39,36,2,275.0
244,32,4,290.53
331,5,1,292.21
447,27,2,93.76
826,10,3,359.65
440,9,4,165.05
414,8,2,334.08
79,1,5,347.3
631,6,1,492.82
152,34,4,173.63
708,27,5,266.89
108,26,3,248.21
935,18,3,66.36
331,18,4,114.04
987,9,5,426.14
247,24,1,415.02
626,18,4,269.27
28,11,4,227.2
106,36,5,37.45
520,21,4,78.89
429,3,2,320.1
423,6,4,101.41
679,33,4,286.78
155,2,2,310.33
122,34,5,111.95
893,1,2,428.05
437,7,1,20.22
515,5,3,430.92
699,14,1,113.04
31,12,2,377.29
468,31,3,469.97
258,9,2,406.97
70,23,1,269.63
889,2,4,181.93
126,18,3,282.93
11,11,1,53.56
428,12,2,456.39
122,18,5,314.51
634,18,4,407.59
353,33,1,161.05
368,15,4,113.54
151,32,2,348.93
765,26,3,37.58
227,27,2,44.88
428,35,1,353.25
401,20,5,450.12
943,22,4,108.15
462,26,5,447.12
122,34,3,466.95
365,17,5,265.35
997,4,5,192.31
453,1,4,408.01
967,3,1,110.57
884,9,1,495.53
401,36,4,425.49
503,13,1,359.87
729,22,3,427.42
345,23,1,386.77
865,8,4,450.48
613,35,3,77.77
373,19,3,117.58
689,6,2,56.53
724,26,2,434.23
562,2,4,321.58
870,9,2,13.89
984,30,4,372.32
901,29,3,475.0
511,5,1,162.2
296,16,5,344.61
850,31,5,121.09
121,3,4,21.35
274,17,5,79.77
297,30,1,353.03
253,19,1,191.45
990,7,1,468.02
32,12,1,344.53
288,30,5,463.51
116,29,4,61.28
501,15,3,461.14
325,20,5,206.31
888,20,1,353.52
793,25,4,137.57
81,9,1,299.57
670,5,2,260.08
725,22,3,149.96
81,3,5,33.74
1,1,2,199.81
712,1,2,213.04
88,24,5,152.73
571,25,1,55.09
415,6,3,387.98
932,31,5,63.31
69,15,2,308.7
236,19,2,22.98
980,17,3,205.45
493,24,5,238.51
251,2,2,465.78
655,17,4,89.55
363,11,3,364.88
473,8,3,451.94
162,32,5,480.17
566,25,4,350.28
482,31,2,428.6
399,27,1,404.37
645,1,4,128.62
426,1,5,225.96
10,2,5,448.05
5,10,1,163.33
688,26,4,258.94
493,12,3,354.91
287,33,4,328.02
582,31,5,151.08
140,14,4,197.28
205,10,3,264.09
869,1,4,26.66
352,1,5,155.92
268,34,2,106.97
328,11,2,13.29
901,2,1,494.38
995,27,5,101.07
252,15,2,91.18
104,34,5,330.12
322,16,4,237.63
213,8,5,112.21
647,31,2,374.54
312,21,5,403.63
595,21,1,112.36
672,30,2,425.26
567,14,5,427.3
243,30,1,65.92
556,25,5,178.98
195,23,5,396.25
599,1,3,372.59
733,4,2,255.42
346,31,5,81.81
251,13,3,474.27
821,8,3,342.79
255,29,3,310.06
536,17,1,287.8
812,24,2,465.52
272,23,5,118.09
757,25,1,23.34
233,3,1,331.32
830,18,5,298.23
188,18,4,497.35
101,7,2,393.2
27,4,3,24.45
135,3,4,483.59
107,7,2,359.69
971,23,1,28.58
586,35,1,121.01
827,1,3,244.2
817,31,1,428.59
449,10,2,228.51
827,3,2,328.83
350,23,5,277.06
16,15,4,120.51
711,11,4,450.49
500,5,5,60.76
316,11,5,492.38
750,13,4,37.95
632,11,4,250.04
961,12,1,435.3
622,13,4,217.74
411,13,4,173.37
287,32,5,53.72
248,25,5,295.17
563,23,4,118.05
969,22,4,481.02
469,26,5,147.05
909,26,1,450.76
533,18,2,422.42
44,9,2,203.44
937,4,2,341.13
541,16,3,277.58
525,17,2,346.52
843,25,5,64.73
505,17,1,25.59
432,23,4,22.62
621,11,2,473.0
469,6,5,94.53
455,23,2,451.33
381,7,2,334.02
653,27,4,132.43
261,27,5,364.45
835,1,2,231.36
12,32,5,378.75
96,14,1,475.25
538,18,2,330.62
404,33,3,216.16
237,30,2,313.53
271,23,2,393.98
956,19,5,155.66
265,15,2,89.99
10,6,4,51.71
96,35,2,372.4
770,16,5,453.11
572,6,5,126.69
221,16,5,162.76
2,29,5,54.71
576,6,4,150.96
80,29,4,239.62
204,4,3,11.4
526,31,2,152.5
705,16,3,447.54
301,13,4,439.92
108,26,2,187.51
98,35,5,107.67
791,16,1,74.13
216,10,3,287.43
970,11,5,67.46
900,26,4,403.92
197,36,3,445.17
249,30,5,377.71
38,25,5,267.93
679,28,1,453.03
283,26,5,430.56
108,32,3,349.13
663,36,1,71.75
615,8,1,185.19
39,34,5,163.26
599,32,1,453.77
12,20,5,22.87
430,1,5,96.34
784,25,2,373.3
326,16,3,288.28
619,31,3,158.78
148,28,1,10.44
513,14,1,56.23
423,33,5,24.64
315,28,5,117.81
802,34,2,335.18
915,9,1,365.66
219,16,3,352.69
498,20,1,100.72
440,2,4,129.02
81,23,4,16.93
354,19,4,37.73
435,7,4,252.08
904,16,2,126.73
946,28,5,106.32
44,20,4,267.79
980,28,4,285.03
799,12,2,387.44
813,2,1,251.4
930,30,1,185.86
168,13,2,45.56
253,20,2,146.14
738,33,1,388.17
296,31,5,336.3
609,24,1,424.66
421,2,5,204.17
871,23,2,262.61
531,2,1,227.18
262,7,5,52.14
21,28,3,31.63
221,16,5,269.18
36,10,4,124.39
143,12,2,338.71
977,10,3,229.96
604,30,1,252.5
490,23,4,152.53
111,28,3,286.26
681,7,5,42.76
254,3,2,337.09
852,13,5,123.92
411,16,3,100.24
706,27,2,130.93
252,33,1,92.4
41,8,3,453.37
878,8,5,123.61
358,9,1,49.52
523,4,4,372.9
919,26,5,409.73
868,35,2,95.27
102,19,1,458.26
775,13,2,339.29
273,3,2,191.32
259,6,2,16.85
868,26,1,200.95
114,4,1,275.64
876,12,3,435.58
850,9,2,374.03
899,18,3,435.85
417,33,2,318.99
136,4,1,201.57
406,3,4,373.72
540,22,4,322.13
472,26,3,16.71
525,26,5,35.09
854,24,4,469.85
697,34,5,10.23
793,12,4,204.21
677,16,2,38.68
101,18,4,337.45
668,1,2,271.21
759,29,3,254.65
392,29,1,70.84
174,16,1,239.21
429,4,1,122.88
611,18,2,113.25
205,26,5,480.67
906,6,4,124.64
178,32,2,212.28
514,27,4,457.94
858,7,2,267.66
680,19,3,143.85
759,21,3,256.5
350,18,4,492.16
549,1,5,161.25
367,11,2,212.37
937,35,1,71.35
117,36,3,386.55
399,29,4,34.39
101,34,1,120.56
709,8,1,339.11
636,7,2,10.95
893,16,2,359.7
439,29,1,51.89
430,36,3,167.13
363,36,5,95.77
372,20,5,479.37
709,8,5,169.27
351,10,2,333.39
302,28,5,326.66
473,2,4,200.23
974,13,5,313.6
391,28,4,432.64
449,25,3,154.15
984,22,4,45.35
695,10,2,39.48
587,36,4,245.09
114,6,1,272.47
643,20,3,275.89
850,1,4,57.58
100,26,1,55.12
964,7,2,406.96
961,9,1,497.45
312,20,3,307.0
811,18,2,223.33
248,10,5,268.47
897,9,4,116.26
308,30,1,35.01
1,2,2,257.46
49,2,3,183.93
660,28,5,362.55
577,24,2,474.41
3,30,1,202.25
305,22,4,130.06
347,19,4,348.7
20,3,4,215.54
960,3,3,461.19
616,23,4,304.04
255,23,5,372.31
787,18,1,227.88
390,17,2,437.41
88,6,5,320.49
549,26,4,28.36
553,27,2,457.12
143,8,3,288.44
148,21,3,416.0
848,36,4,439.46
467,28,2,301.37
998,35,3,318.49
333,35,4,144.98
332,6,5,55.92
748,7,5,419.44
223,22,4,32.36
72,32,2,157.32
29,4,2,223.86
243,14,1,276.27
385,17,3,160.45
197,4,2,68.47
519,27,2,149.73
991,4,1,177.79
996,2,3,68.65
897,7,1,99.84
826,30,5,188.27
134,10,1,452.13
588,27,4,268.45
372,8,5,272.44
544,25,5,86.82
622,4,4,409.6
681,18,2,160.52
204,35,5,150.65
87,15,5,62.8
408,29,3,238.25
917,24,3,193.44
635,16,4,436.99
523,13,4,67.76
544,23,4,451.84
499,11,2,44.38
439,20,2,362.13
47,1,4,495.96
325,21,3,443.38
393,19,1,381.93
202,8,4,290.28
209,36,2,150.81
537,32,5,176.85
30,28,3,149.23
469,11,5,366.45
546,19,2,461.25
662,19,3,415.12
625,33,2,309.75
327,17,3,264.71
93,21,3,400.68
369,14,4,394.07
825,27,4,420.15
578,11,2,16.48
576,3,4,499.03
918,25,1,275.19
462,26,4,218.13
585,33,4,404.63
787,20,1,177.7
286,13,2,189.54
608,24,2,265.46
926,9,1,321.58
414,35,2,51.51
677,3,4,218.26
3,6,5,84.8
394,22,1,413.15
557,29,1,410.91
729,18,4,241.25
284,19,3,282.34
987,23,3,243.88
976,1,2,397.58
629,8,5,138.8
617,28,2,186.31
301,3,3,165.34
676,30,2,61.86
748,9,3,176.76
337,4,1,309.98
525,12,5,159.81
201,19,4,485.16
286,6,2,146.32
744,14,5,11.45
313,5,3,210.03
975,1,5,131.1
283,8,2,387.65
568,32,5,309.49
954,22,5,465.09
668,8,1,126.68
958,15,4,454.91
217,10,1,200.5
606,13,1,121.72
199,19,2,75.06
584,36,5,74.8
393,12,4,469.94
66,12,5,422.03
572,20,4,403.02
196,35,2,429.63
30,36,5,151.88
560,26,4,162.46
340,36,3,71.43
206,28,4,17.43
955,4,4,391.55
518,29,3,203.9
412,31,2,286.87
886,30,2,215.64
504,7,4,115.47
135,17,1,317.88
386,10,3,268.07
314,2,2,193.82
741,3,2,355.87
266,18,4,167.12
328,25,4,33.26
292,21,4,392.6
976,2,1,19.97
960,1,5,240.73
243,34,3,41.16
863,35,5,270.12
456,33,3,83.39
705,13,3,453.01
762,27,5,255.55
765,3,1,188.62
894,1,4,214.82
694,19,1,336.89
688,34,3,225.21
757,32,3,100.35
886,1,5,164.34
712,18,1,489.12
9,31,5,140.93
823,27,4,34.52
381,11,5,481.63
494,7,1,147.13
407,25,5,493.67
344,1,5,200.85
765,33,1,22.99
127,22,1,430.04
943,31,5,356.31
530,20,3,243.0
651,28,1,353.64
525,26,5,125.7
877,28,2,109.98
770,35,4,303.79
129,10,4,75.45
412,28,5,168.49
1000,21,1,475.0
523,8,4,18.59
964,10,4,189.07
823,8,5,424.85
341,27,3,224.58
116,30,3,138.02
704,20,5,90.43
441,16,1,186.74
861,8,2,180.28
730,32,2,489.67
606,13,3,261.7
443,22,5,17.26
676,13,5,230.82
321,22,3,165.14
906,3,4,200.5
797,33,5,136.11
313,19,2,206.03
117,2,1,366.33
25,1,3,86.39
58,22,1,189.72
840,34,1,75.58
979,29,2,262.71
89,4,5,418.14
472,3,3,149.07
846,18,3,221.09
550,7,4,381.24
475,7,5,444.34
470,13,5,242.49
816,27,1,219.78
901,9,2,483.86
880,15,4,243.67
343,24,3,296.51
651,21,3,433.67
422,32,3,488.52
575,5,1,337.0
828,16,5,132.3
944,3,4,351.98
155,3,3,141.24
347,29,4,79.3
891,13,5,158.03
549,3,3,363.0
113,14,3,495.5
929,25,5,338.68
254,15,1,47.47
291,13,3,35.87
528,32,5,320.44
54,31,4,200.07
728,27,5,231.44
18,30,5,423.95
232,20,2,440.99
617,28,5,270.29
720,24,5,272.89
377,4,2,353.88
854,4,2,84.13
133,12,5,449.12
279,6,3,452.55
718,36,3,311.9
619,27,2,304.49
891,15,3,388.61
683,6,2,219.07
710,22,1,227.56
328,13,5,363.24
978,7,5,151.38
497,3,2,191.38
375,16,3,106.53
522,33,5,470.13
124,24,4,302.35
672,10,3,21.71
921,2,3,429.09
287,9,3,392.98
